Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
85	3798.4263	120.197556	3878.6833	3560.8638	1313.1582	12.720462	1329.7416	1298.7972	5599.499	80.33085	5729.197	5486.1255	1000.0	1000.0	425000	491.24033	39.642506	545.1872	204.1675	-493.2758	10.332227	10034.875710010529
86	3897.688	99.3933	4060.1296	3749.7427	1301.4739	28.099056	1352.2043	1273.8517	5365.581	85.64631	5518.829	5247.2817	1000.0	1000.0	430000	492.1745	39.424545	543.9358	205.54187	-494.23904	10.392461	10186.653411388397
87	3856.7922	181.46742	4039.9333	3633.7542	1327.6038	11.902996	1347.1243	1313.3591	5321.4717	88.80006	5418.755	5173.219	1000.0	1000.0	435000	492.89725	39.61964	545.66504	205.91873	-494.8066	10.259	10337.171880960464
88	3901.3203	89.882065	3999.3035	3742.5327	1332.5762	35.77121	1390.7926	1286.3043	5543.923	152.22687	5715.043	5162.234	1000.0	1000.0	440000	493.7447	39.404823	546.5674	203.27454	-495.73706	10.250364	10487.566485404968
89	3881.5786	83.645905	4023.2847	3782.2917	1321.2874	15.531536	1338.3511	1292.7769	5404.305	84.88883	5569.978	5256.387	1000.0	1000.0	445000	494.57974	39.437508	548.57416	208.06972	-496.45575	10.332283	10638.001333713531
90	3843.859	65.61908	3944.9824	3765.9014	1327.135	22.243176	1358.3531	1288.7095	5587.0996	56.20985	5683.6553	5472.5957	1000.0	1000.0	450000	495.22308	39.175934	547.9617	202.56653	-497.1023	10.441411	10788.537976026535
91	3856.1687	100.07419	3947.95	3681.749	1338.9636	22.518448	1365.5704	1302.2903	5520.8916	73.994865	5662.4355	5412.439	1000.0	1000.0	455000	495.84793	39.07016	549.3436	202.06436	-497.7833	10.352433	10937.762721776962
92	3859.9082	54.832783	3959.3328	3813.263	1362.0	42.687355	1418.051	1295.9637	5511.2114	83.30161	5651.6387	5310.278	1000.0	1000.0	460000	496.5875	39.205276	548.5068	199.66234	-498.61514	10.438137	11089.636120796204
93	3868.713	84.251724	4023.506	3791.3464	1344.773	36.72729	1395.2316	1287.0134	5276.49	41.974247	5334.0596	5201.9185	1000.0	1000.0	465000	497.3861	39.31501	548.9098	194.92091	-499.2721	10.36458	11239.24984574318
94	3871.939	98.4466	3965.9253	3686.9036	1334.6199	25.267775	1365.2664	1304.0452	5363.9316	50.856323	5467.3394	5285.5063	1000.0	1000.0	470000	498.13754	39.242226	550.1559	198.04962	-500.0189	10.350666	11388.525950670242
95	3791.998	66.02177	3887.881	3698.7463	1327.0447	26.63551	1349.2964	1285.1581	5302.8784	189.8383	5422.407	4745.8496	1000.0	1000.0	475000	498.91196	39.116993	551.7416	196.11314	-500.8254	10.51389	11537.490458726883
96	3925.3484	73.98206	3994.8467	3789.5315	1331.7141	29.080038	1382.1221	1304.0531	5522.416	66.87668	5615.121	5414.4443	1000.0	1000.0	480000	499.69952	38.78377	552.2872	204.9584	-501.6211	10.513731	11686.796668052673
97	3868.6328	126.98393	4085.866	3734.8599	1334.9014	18.152832	1353.2673	1300.1917	5291.2915	117.846596	5557.8647	5120.8647	1000.0	1000.0	485000	500.32874	38.776024	552.25574	207.68527	-502.30966	10.265458	11836.334545135498
98	3826.6152	199.51491	4094.5425	3512.1633	1348.5098	51.739643	1433.9767	1274.1349	5510.0723	158.85945	5678.186	5083.0513	1000.0	1000.0	490000	501.17892	38.134773	553.8961	205.82489	-503.15756	10.185514	11985.505490541458
99	3841.3223	136.72986	3981.5002	3613.8281	1332.1316	30.14876	1375.8789	1292.0641	5768.2163	73.50699	5865.5264	5607.3447	1000.0	1000.0	495000	501.7286	38.35802	552.53674	208.35242	-503.7014	10.373456	12137.205107688904
